Model,Accuracy,Precision,Recall,F1
Rule-Based,0.5152782000608087,0.6292485188649829,0.2800444074382459,0.38759243253625275
SVM,0.7613256308908483,0.7576679340937896,0.829586455731335,0.7919978802331743
Random Forest,0.943523867436911,0.9430961195667078,0.9544823757979461,0.9487550865576936
