2026-06-20 12:38:05 | DMS | INFO | Camera ready: 640x480 @ 30fps
2026-06-20 12:38:05 | DMS | INFO | System not calibrated. Starting calibration...
2026-06-20 12:38:05 | DMS | INFO | Starting calibration process...
2026-06-20 12:38:23 | DMS | INFO | ✅ Calibration complete for driver: driver_1781984288
2026-06-20 12:38:23 | DMS | INFO | 🚀 System running. Press 'q' to quit, 'c' to recalibrate
2026-06-20 12:39:49 | DMS | INFO | Stats - Frame: 2400, FPS: 24, Avg Time: 25.4ms
2026-06-20 12:40:28 | DMS | INFO | Stats - Frame: 3500, FPS: 24, Avg Time: 28.9ms
2026-06-20 12:40:30 | DMS | INFO | Received signal 2, shutting down...
2026-06-20 12:40:30 | DMS | INFO | Shutting down system...
2026-06-20 12:40:30 | DMS | INFO | Saving profile for driver: driver_1781984288
2026-06-20 12:40:30 | DMS | INFO | ============================================================
2026-06-20 12:40:30 | DMS | INFO | System Statistics:
2026-06-20 12:40:30 | DMS | INFO |   - Total frames processed: 3557
2026-06-20 12:40:30 | DMS | INFO |   - Average processing time: 24.0ms
2026-06-20 12:40:30 | DMS | INFO |   - Calibrated: True
2026-06-20 12:40:30 | DMS | INFO | ============================================================
2026-06-20 12:40:30 | DMS | INFO | ✅ System shutdown complete
2026-06-24 11:08:44 | DMS | INFO | ============================================================
2026-06-24 11:08:44 | DMS | INFO | Driver Drowsiness Detection System Initializing...
2026-06-24 11:08:44 | DMS | INFO | Version: 2.0.0 | Mode: production
2026-06-24 11:08:44 | DMS | INFO | ============================================================
2026-06-24 11:08:44 | DMS | INFO | Initializing detection components...
2026-06-24 11:08:56 | DMS | INFO | Initializing calibration components...
2026-06-24 11:08:56 | DMS | INFO | Initializing driver selection...
2026-06-24 11:08:56 | DMS | INFO | Initializing feature analyzers...
2026-06-24 11:08:56 | DMS | INFO | Initializing signal processing...
2026-06-24 11:08:56 | DMS | INFO | Initializing alert system...
2026-06-24 11:08:56 | DMS | INFO | ✅ All components initialized successfully!
2026-06-24 11:08:56 | DMS | INFO | Initializing camera...
2026-06-24 11:09:44 | DMS | INFO | Camera ready: 640x480 @ 30fps
2026-06-24 11:09:44 | DMS | INFO | System not calibrated. Starting calibration...
2026-06-24 11:09:44 | DMS | INFO | Starting calibration process...
2026-06-24 11:10:00 | DMS | INFO | ✅ Calibration complete for driver: driver_1782324584
2026-06-24 11:10:00 | DMS | INFO | 🚀 System running. Press 'q' to quit, 'c' to recalibrate
2026-06-24 11:10:16 | DMS | INFO | Received signal 2, shutting down...
2026-06-24 11:10:16 | DMS | INFO | Shutting down system...
2026-06-24 11:10:16 | DMS | INFO | Saving profile for driver: driver_1782324584
2026-06-24 11:10:16 | DMS | INFO | ============================================================
2026-06-24 11:10:16 | DMS | INFO | System Statistics:
2026-06-24 11:10:16 | DMS | INFO |   - Total frames processed: 498
2026-06-24 11:10:16 | DMS | INFO |   - Average processing time: 20.5ms
2026-06-24 11:10:16 | DMS | INFO |   - Calibrated: True
2026-06-24 11:10:16 | DMS | INFO | ============================================================
2026-06-24 11:10:16 | DMS | INFO | ✅ System shutdown complete
2026-06-28 01:06:20 | DMS | INFO | ============================================================
2026-06-28 01:06:20 | DMS | INFO | Driver Drowsiness Detection System Initializing...
2026-06-28 01:06:20 | DMS | INFO | Version: 2.0.0 | Mode: production
2026-06-28 01:06:20 | DMS | INFO | ============================================================
2026-06-28 01:06:20 | DMS | INFO | Initializing detection components...
2026-06-28 01:06:43 | DMS | INFO | Initializing calibration components...
2026-06-28 01:06:43 | DMS | INFO | Initializing driver selection...
2026-06-28 01:06:43 | DMS | INFO | Initializing feature analyzers...
2026-06-28 01:06:43 | DMS | INFO | Initializing signal processing...
2026-06-28 01:06:43 | DMS | INFO | Initializing alert system...
2026-06-28 01:06:43 | DMS | INFO | ✅ All components initialized successfully!
2026-06-28 01:06:43 | DMS | INFO | Initializing camera...
